"(64.95833333333334, 1)","(63.81104651162791, 3)","(62.666666666666664, 5)","(62.32692307692308, 15)","(61.426829268292686, 13)","(60.27777777777778, 7)","(59.17796610169491, 10)","(57.2609649122807, 2)","(56.707044673539514, 6)","(55.41161616161616, 16)"
"(71.88157894736842, 3)","(64.86309523809524, 5)","(63.72270114942529, 15)","(63.629629629629626, 19)","(62.67261904761905, 0)","(61.76136363636364, 7)","(60.762362637362635, 13)","(59.3014705882353, 10)","(58.38425925925926, 16)","(57.486635220125784, 6)"
"(71.26785714285714, 12)","(57.63365800865801, 15)","(56.90895061728395, 13)","(56.818627450980394, 3)","(56.06410256410256, 1)","(55.57675438596491, 0)","(55.205524344569284, 7)","(53.93181818181818, 3681)","(53.82995495495496, 5)","(52.95833333333333, 10)"
"(72.72368421052632, 1)","(70.20833333333334, 13)","(64.66911764705883, 15)","(63.375, 7)","(63.31730769230769, 5)","(62.4156976744186, 0)","(60.50765306122449, 10)","(58.185344827586206, 6)","(58.10159176029963, 16)","(57.759803921568626, 2)"
"(72.29964539007092, 8)","(64.76136363636364, 11)","(56.23179611650485, 9)","(53.5360824742268, 18)","(52.8562925170068, 6)","(52.325, 16)","(51.729559748427675, 1)","(51.72126436781609, 3)","(50.414377289377285, 7)","(50.06359649122807, 5)"
"(66.76785714285714, 1)","(63.31730769230769, 3)","(63.2, 0)","(63.13768115942029, 7)","(62.75877192982456, 15)","(61.778688524590166, 13)","(59.55263157894737, 10)","(57.71153846153846, 16)","(56.91885964912281, 14)","(56.725, 18)"
"(70.63025889967636, 9)","(67.13333333333333, 16)","(66.38396624472574, 15)","(65.56915807560136, 18)","(65.01529535864978, 14)","(63.97489959839357, 13)","(58.185344827586206, 3)","(57.86399371069182, 1)","(57.14393939393939, 11)","(55.91849816849817, 7)"
"(70.26415094339623, 10)","(63.083333333333336, 15)","(62.10526315789474, 13)","(61.76136363636364, 1)","(61.375, 3)","(60.81884057971015, 5)","(59.388888888888886, 0)","(57.814516129032256, 16)","(57.68115942028985, 11)","(56.666666666666664, 9)"
"(74.427304964539, 4)","(66.92763157894737, 11)","(57.10732323232323, 9)","(55.27150537634409, 18)","(54.375, 16)","(53.15261044176707, 3)","(53.0735294117647, 1)","(52.74024822695036, 6)","(51.291666666666664, 5)","(50.969086021505376, 0)"
"(71.36904761904762, 16)","(71.01860841423948, 6)","(70.21323529411765, 18)","(65.38461538461539, 11)","(65.36904761904762, 15)","(63.6060606060606, 13)","(63.208333333333336, 14)","(58.56189320388349, 4)","(58.16287878787878, 21)","(57.10732323232323, 8)"
"(71.01886792452831, 7)","(68.72560975609755, 15)","(66.6120218579235, 11)","(62.140306122448976, 3)","(61.77777777777778, 13)","(59.88970588235294, 1)","(59.55263157894737, 5)","(59.25, 12)","(59.17796610169491, 0)","(55.17948717948718, 9)"
