GameID,Name,Genre,ESRB,Platform,Publisher,Developer,Score,Year,URL
1,wii sports,sports,e,wii,nintendo,nintendo ead,7.7,2006,/games/boxart/full_2258645AmericaFrontccc.jpg
2,super mario bros.,platform,,nes,nintendo,nintendo ead,10,1985,/games/boxart/8972270ccc.jpg
3,mario kart wii,racing,e,wii,nintendo,nintendo ead,8.649999999999999,2008,/games/boxart/full_8932480AmericaFrontccc.jpg
4,wii sports resort,sports,e,wii,nintendo,nintendo ead,8.4,2009,/games/boxart/full_7295041AmericaFrontccc.jpg
5,pokemon red / green / blue version,role-playing,e,gb,nintendo,game freak,9.4,1998,/games/boxart/full_6442337AmericaFrontccc.png
6,new super mario bros.,platform,e,ds,nintendo,nintendo ead,8.6,2006,/games/boxart/full_2916260AmericaFrontccc.jpg
7,new super mario bros. wii,platform,e,wii,nintendo,nintendo ead,8.899999999999999,2009,/games/boxart/full_1410872AmericaFrontccc.jpg
8,minecraft,misc,,pc,mojang,mojang ab,10,2010,/games/boxart/full_minecraft_1AmericaFront.png
9,wii play,misc,e,wii,nintendo,nintendo ead,5.2,2007,/games/boxart/full_6165969AmericaFrontccc.jpg
10,kinect adventures!,party,e,x360,microsoft game studios,good science studio,6.7,2010,/games/boxart/full_kinect-adventures_386AmericaFront.jpg
11,nintendogs,simulation,e,ds,nintendo,nintendo ead,8.4,2005,/games/boxart/full_4870931AmericaFrontccc.jpg
12,mario kart ds,racing,e,ds,nintendo,nintendo ead,9.25,2005,/games/boxart/full_9551652AmericaFrontccc.jpg
13,pokemon gold / silver version,role-playing,e,gb,nintendo,game freak,9.2,2000,/games/boxart/full_1344180AmericaFrontccc.png
14,wii fit,sports,e,wii,nintendo,nintendo ead,7.9,2008,/games/boxart/full_3619557AmericaFrontccc.jpg
15,wii fit plus,sports,e,wii,nintendo,nintendo ead,8,2009,/games/boxart/full_2716475AmericaFrontccc.jpg
16,super mario world,platform,e,snes,nintendo,nintendo ead,8.5,1991,/games/boxart/full_1091265AmericaFrontccc.jpg
17,grand theft auto v,action,m,ps3,rockstar games,rockstar north,9.4,2013,/games/boxart/full_6510540AmericaFrontccc.jpg
18,grand theft auto v,action,m,ps4,rockstar games,rockstar north,9.7,2014,/games/boxart/full_5563178AmericaFrontccc.jpg
19,brain age: train your brain in minutes a day,misc,e,ds,nintendo,nintendo sdd,8.1,2006,/games/boxart/full_7749365AmericaFrontccc.jpg
20,mario kart 7,racing,e,3ds,nintendo,nintendo ead / retro studios,8.2,2011,/games/boxart/full_mario-kart-7_649AmericaFront.jpg
21,pokemon diamond / pearl version,role-playing,e,ds,nintendo,game freak,8.6,2007,/games/boxart/full_2730687AmericaFrontccc.jpg
22,grand theft auto: san andreas,action,m,ps2,rockstar games,rockstar north,9.5,2004,/games/boxart/3887656ccc.jpg
23,pokemon x/y,role-playing,e,3ds,nintendo,game freak,9.3,2013,/games/boxart/full_9470074AmericaFrontccc.png
24,pokemon ruby / sapphire version,role-playing,e,gba,nintendo,game freak,8.8,2003,/games/boxart/full_4771333AmericaFrontccc.png
25,grand theft auto: vice city,action,m,ps2,rockstar games,rockstar north,9.6,2002,/games/boxart/827563ccc.jpg
26,pokemon sun/moon,role-playing,e,3ds,nintendo,game freak,9,2016,/games/boxart/full_6532288JapanFrontccc.png
27,pokemon black / white version,role-playing,e,ds,nintendo,game freak,8.8,2011,/games/boxart/full_2983232AmericaFrontccc.jpg
28,mario kart 8 deluxe,racing,e,ns,nintendo,nintendo epd,9.3,2017,/games/boxart/full_895207AmericaFrontccc.png
29,counter-strike: source,shooter,m,pc,vu games,valve software,9.3,2004,/games/boxart/full_9030886AmericaFrontccc.jpg
30,gran turismo 3: a-spec,racing,e,ps2,sony computer entertainment,polyphony digital,9.3,2001,/games/boxart/full_5113832AmericaFrontccc.jpg
31,brain age 2: more training in minutes a day,misc,e,ds,nintendo,nintendo sdd,8,2007,/games/boxart/full_1039696AmericaFrontccc.jpg
32,call of duty: modern warfare 3,shooter,m,x360,activision,infinity ward,8.7,2011,/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg
33,call of duty: black ops,shooter,m,x360,activision,treyarch,8.8,2010,/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg
34,pokemon yellow: special pikachu edition,role-playing,e,gb,nintendo,game freak,8.7,1999,/games/boxart/4260472ccc.jpg
35,halo 3,shooter,m,x360,microsoft game studios,bungie studios,9.55,2007,/games/boxart/full_8373567AmericaFrontccc.jpg
